"","source","purp","origPlace","count","dist"
"141","model","visit",24,9,1117.84334444444
"142","model","visit",25,16,661.3236665625
"143","model","visit",26,48,791.105944791667
"144","model","visit",27,136.5,668.241742564103
"145","model","visit",28,112,658.850478660714
"146","model","visit",29,261,698.668784923372
"147","model","visit",30,340,576.506808132353
"148","model","visit",31,15,595.537090333333
"149","model","visit",32,6.5,435.828504615385
"150","model","visit",33,37,772.870046891892
"151","model","visit",34,1,326.10056
"152","model","visit",35,65,627.336775
"153","model","visit",36,191.5,725.303577780679
"154","model","visit",37,12,717.6366375
"155","model","visit",38,31.5,771.314341746032
"156","model","visit",39,52,620.062694326923
"157","model","visit",40,14,689.173375714286
"158","model","visit",41,25,701.744311
"159","model","visit",42,89.5,639.683445195531
"160","model","visit",43,774.5,494.875943530019
"161","model","visit",44,89.5,593.540484860335
"162","model","visit",45,144.5,511.101617854671
"163","model","visit",46,8,1034.53821375
"164","model","visit",47,247.5,667.202082040404
"165","model","visit",48,15.5,669.816592580645
"166","model","visit",49,3.5,955.653388571429
"167","model","visit",50,4,1764.9822075
"168","model","visit",51,7.5,640.224416
"169","model","visit",52,22,668.066367272727
"170","model","visit",53,11.5,924.215279565217
"171","model","visit",56,2.5,670.749806
"172","model","visit",62,0.5,707.7835
"173","model","visit",65,1,805.106765
"174","survey","business",1,43.0404536849315,550.479212635276
"175","survey","business",2,15.2460525616438,737.550071076459
"176","survey","business",3,9.16172349315069,2448.35176930832
"177","survey","business",4,225.009182452055,1734.91662861551
"178","survey","business",5,69.4417869178082,607.820603632589
"179","survey","business",6,7.51391831506849,786.182348399636
"180","survey","business",7,49.7072996164384,1422.219724424
"181","survey","business",8,0.648662410958904,989.950079776451
"182","survey","business",9,4.75893491780822,739.53371128406
"183","survey","business",10,3.98847934246575,499.606420708115
"184","survey","business",11,19.3442748767123,865.631961978894
"185","survey","business",12,3.48070612328767,561.054972170419
"186","survey","business",13,25.9168137123288,825.915271184349
"187","survey","business",15,35.6959932191781,1550.55658192423
"188","survey","business",16,10.2870091643836,1328.36090868734
"189","survey","business",17,14.5395669178082,1280.03304024655
"190","survey","business",18,79.235991890411,1273.97089463281
"191","survey","business",19,82.2547592054794,1044.14871251571
"192","survey","business",20,264.395515671233,1242.04915671558
"193","survey","business",21,842.416933520548,1537.16293171527
"194","survey","business",22,298.144569109589,1229.68836146908
"195","survey","business",23,11.6288335616438,1043.25827319802
"196","survey","business",24,14.4415200136986,987.340080655556
"197","survey","business",25,20.5194438493151,838.14465940125
"198","survey","business",26,85.5521658493151,1439.01259688851
"199","survey","business",27,152.274517561644,1056.4992132152
"200","survey","business",28,131.867214424658,940.702710287541
"201","survey","business",29,135.467314684931,793.308620434426
"202","survey","business",30,595.429436547945,296.103544428863
"203","survey","business",31,19.6072982054795,662.461030670599
"204","survey","business",32,7.04081126027397,642.335276970226
"205","survey","business",33,32.5191216575342,849.100322911844
"206","survey","business",35,31.0363672876712,616.977655534483
"207","survey","business",36,177.34709370411,1254.99585904039
"208","survey","business",37,14.2986925342466,822.766491215112
"209","survey","business",38,23.2940719315068,1010.4342760008
"210","survey","business",39,26.3417751643836,828.090654588588
"211","survey","business",40,4.25197669863014,298.065546820715
"212","survey","business",41,14.4450210136986,620.54166259826
"213","survey","business",42,115.300439493151,291.41898322052
"214","survey","business",43,2344.00104534247,132.374949275472
"215","survey","business",44,187.743039972603,172.010634410965
"216","survey","business",45,103.871954931507,239.51853672141
"217","survey","business",46,8.83643939726027,405.822732864845
"218","survey","business",47,160.207245712329,798.126389179296
"219","survey","business",48,10.9641349726027,479.313392501741
"220","survey","business",49,3.36730794520548,579.120183910435
"221","survey","business",50,17.1337084369863,1276.59896608785
"222","survey","business",51,17.1298525753425,933.038834355999
"223","survey","business",52,37.5053436849315,1153.32552350791
"224","survey","business",53,25.7278544657534,1219.45017335523
"225","survey","business",54,8.17572332876712,1589.94905190343
"226","survey","business",55,2.02194569863014,811.102394759831
"227","survey","business",56,8.76760808219178,1153.71949386131
"228","survey","business",57,12.6573170684932,1371.05285025359
"229","survey","business",58,9.97270409589041,1190.264782472
"230","survey","business",59,2.28262054794521,786.434300764852
"231","survey","business",61,1.72330150684932,2658.7032899874
"232","survey","business",62,12.6548764794521,1641.2232654258
"233","survey","business",63,3.5734787260274,850.876849269703
"234","survey","business",64,3.34374978082192,1288.58158973276
"235","survey","business",65,64.5400352328767,481.147610958965
"236","survey","business",66,70.8677472328767,896.753248733522
"237","survey","business",67,0.901954931506849,1920.99255435879
"238","survey","business",68,191.145564972603,431.182857155874
"239","survey","business",69,14.5432022328767,821.477052601789
"240","survey","leisure",1,291.718806191781,556.327187719288
"241","survey","leisure",2,57.4266650410959,749.178663462281
"242","survey","leisure",3,30.3334278219178,1505.09848434616
"243","survey","leisure",4,866.750884954795,917.160941505286
"244","survey","leisure",5,408.744303246575,451.773684747398
"245","survey","leisure",6,72.9983584246575,715.305074960237
"246","survey","leisure",7,231.311956205479,613.62872864854
"247","survey","leisure",8,18.1779464383562,1228.75403085595
"248","survey","leisure",9,22.466512890411,503.525673969771
